file,count
HIP09150.tsv.gz,163120
HIP13554.tsv.gz,173266
HIP14020.tsv.gz,166111
HIP01055.tsv.gz,53852
HIP08399.tsv.gz,213834
HIP09190.tsv.gz,145138
HIP13489.tsv.gz,182598
HIP01470.tsv.gz,187563
HIP13722.tsv.gz,120703
HIP01582.tsv.gz,94420
HIP10568.tsv.gz,169005
HIP08989.tsv.gz,293244
HIP01219.tsv.gz,178309
HIP03184.tsv.gz,39486
HIP13427.tsv.gz,405364
HIP13592.tsv.gz,209184
HIP10730.tsv.gz,140016
HIP09775.tsv.gz,134518
HIP01850.tsv.gz,173220
HIP02805.tsv.gz,203849
HIP14236.tsv.gz,96575
HIP14176.tsv.gz,143377
HIP14192.tsv.gz,245721
HIP10507.tsv.gz,170698
HIP14055.tsv.gz,158190
HIP13291.tsv.gz,255857
HIP09062.tsv.gz,265683
HIP00838.tsv.gz,278868
HIP08346.tsv.gz,296290
HIP14223.tsv.gz,109138
HIP08653.tsv.gz,240384
HIP13871.tsv.gz,146164
HIP13233.tsv.gz,198729
HIP03275.tsv.gz,202083
HIP13193.tsv.gz,53780
HIP14024.tsv.gz,48664
HIP14130.tsv.gz,200171
HIP01795.tsv.gz,143621
HIP00826.tsv.gz,155737
HIP08400.tsv.gz,190018
HIP13853.tsv.gz,324503
HIP14178.tsv.gz,140148
HIP14077.tsv.gz,207096
HIP03502.tsv.gz,276515
HIP08337.tsv.gz,119562
HIP13774.tsv.gz,118965
HIP05595.tsv.gz,75036
HIP13463.tsv.gz,259723
HIP13214.tsv.gz,214875
HIP03695.tsv.gz,126244
HIP02078.tsv.gz,176922
HIP14184.tsv.gz,116624
HIP13324.tsv.gz,248185
HIP14160.tsv.gz,148026
HIP08816.tsv.gz,173978
HIP14494.tsv.gz,314629
HIP13988.tsv.gz,102822
HIP02737.tsv.gz,256654
HIP04480.tsv.gz,170849
HIP02811.tsv.gz,197157
HIP01264.tsv.gz,231368
HIP13311.tsv.gz,166117
HIP14187.tsv.gz,180603
HIP14080.tsv.gz,81522
HIP00851.tsv.gz,269404
HIP05405.tsv.gz,223719
HIP00773.tsv.gz,261388
HIP14218.tsv.gz,242009
HIP13370.tsv.gz,205263
HIP00926.tsv.gz,287957
HIP01865.tsv.gz,46200
HIP14072.tsv.gz,102868
HIP10564.tsv.gz,212664
HIP13833.tsv.gz,132035
HIP13859.tsv.gz,124827
HIP15685.tsv.gz,125920
HIP14172.tsv.gz,234355
HIP03678.tsv.gz,89501
HIP05460.tsv.gz,83253
HIP00734.tsv.gz,91948
HIP03720.tsv.gz,138959
HIP13848.tsv.gz,88568
HIP15855.tsv.gz,236202
HIP11518.tsv.gz,218969
HIP14134.tsv.gz,151703
HIP02877.tsv.gz,61156
HIP13911.tsv.gz,246782
HIP11613.tsv.gz,210336
HIP09559.tsv.gz,277038
HIP02848.tsv.gz,37968
HIP12088.tsv.gz,258946
HIP13505.tsv.gz,31788
HIP02734.tsv.gz,79201
HIP13142.tsv.gz,290726
HIP08598.tsv.gz,271423
HIP14034.tsv.gz,236889
HIP13860.tsv.gz,161872
HIP14157.tsv.gz,229535
HIP08236.tsv.gz,311177
HIP04532.tsv.gz,260837
HIP13274.tsv.gz,288602
HIP03383.tsv.gz,120091
HIP14018.tsv.gz,220770
HIP14214.tsv.gz,213776
HIP05331.tsv.gz,114242
HIP13610.tsv.gz,166135
HIP13938.tsv.gz,109791
HIP14124.tsv.gz,257306
HIP14000.tsv.gz,404549
HIP03233.tsv.gz,204990
HIP10443.tsv.gz,184874
HIP02820.tsv.gz,279639
HIP09051.tsv.gz,151738
HIP14231.tsv.gz,188748
HIP00934.tsv.gz,208694
HIP14090.tsv.gz,84669
HIP13852.tsv.gz,153326
HIP17837.tsv.gz,205762
HIP15860.tsv.gz,63664
HIP13880.tsv.gz,182127
HIP14009.tsv.gz,141081
HIP13176.tsv.gz,266528
HIP00819.tsv.gz,139101
